title,text,site,date,category,class,url
What Irish People Are Saying About Israel Closing Its Embassy In Ireland,"NEWS WHICH has been extensively reported around the world and hotly debated online, but just what do the Irish public make of the Israeli government’s decision to close their embassy here in Ireland? WWN has taken to the streets to find out: “Since the embassy will be going spare, we can probably let Palestinian refugees move in?” – Deirdre, Cork. “I might be overdue an eye test but why does Netanyahu suddenly closely resemble a jockey’s bollocks?” – Carmel, Wexford. “I get it, when I’m annoyed at people I feel aren’t treating me well I punish them by punching myself in the face too” – Cormac, Wicklow. “I’m an Irish-American on Twitter with 12 followers that absolutely isn’t a bot account and I can confidently say I speak for all Irish people when I say antisemitism is taught from birth in Ireland. It’s whispered in the ears of newborns by midwives and Irish people are given a free potato every time they say ‘Israel is bad'” – SonOfAira1816. “That’s very Main Character Energy of Israel, we’re actually too busy protesting against and intimidating refugees in Ireland to be bothered being mean to their embassy” – Fergal, Westmeath. “Things have gotten so bad Israel has got me supporting Simon Harris, thanks a lot Netanyahu!” – Mairead, Dublin. “Sorry, I can’t talk I’m off to return one of my 40 copies of Mein Kampf to the library” Ian, Waterford. “I can’t help but feel this is partly my fault, if only I’d celebrated the murder of Palestinians, sent a congratulations card every time a child was executed by sniper fire then the ambassador would have felt more welcome” – Shay, Kerry. “Rent in Dublin is a pox, I know the feeling too pal, I left a long time ago” – Ciara, Glasgow. “Antisemitism is a very real and hateful form discrimination which needs to be stamped out, but that’s probably not helped by the Israeli government calling Irish people antisemitic for objecting to mass murder” – Laura, Galway.  “Is this the first time the Israeli government has actually given up property?” – Kevin, Cavan.",Waterford Whispers News,"December 17, 2024",LOCAL NEWS,Satire,https://waterfordwhispersnews.com/2024/12/17/what-irish-people-are-saying-about-israel-closing-its-embassy-in-ireland/
4-Year-Old Pours Glass Of Ribena After Another Exhausting Day,"“I’M THAT up to my eyes with the stress, I’ll have it neat,” stone-faced 4-year-old Jack McKinty barked at his Mam, Una McKinty, after what must rank as the most stressful day in little Jack’s life thus far. A particularly taxing bout of chasing during little break, coupled with exhaustive number rhymes and an argument over what the best dinosaur is, McKinty entered the second half of his day more tired than usual, with his desire to ‘put today to bed’ manifesting itself in a 6pm request for an unprecedented second glass of Ribena. “My friends don’t understanded me, hide and seek is better than just chasing. Mrs Horan doesn’t understanded me, maths is wojus altogether, we should do painting but Ribena, Ribena gets me,” said Jack staring into the middle distance, inhaling sharply as the 2024 vintage blackcurrant juice burned a little in his throat. Jack’s stress levels weren’t helped by the fact his two older siblings were ‘acting the complete pricks’ when they returned from school, insisting on switching off Bluey in favour of playing their computer games. “Okay honey, just this once but we can’t make having two glasses of Ribena a habit okay? It’s not good for your toothy woothies and it’s full of E numbers,” Una told her child, who couldn’t hear her as his senses were momentarily dulled by the sugary blackcurrant squash coursing around his body. “This world is chewing me up and spitting me out just fine without you being on my case too Una, just one day, that’s all I’m asking, one fucking day you can just leave me to enjoy the small things in life without a lecture,” said Jack grabbing the bottle of raw unfiltered Ribena and storming off to bed.",Waterford Whispers News,"December 18, 2024",LOCAL NEWS,Satire,https://waterfordwhispersnews.com/2024/12/18/4-year-old-pours-glass-of-ribena-after-another-exhausting-day/
McEntee Reassures Public Dublin City Safe Between The Times Of 10.23am-10.27am Every Second Tuesday,"FOLLOWING a fresh assault in the capital city, this time on two off duty gardaí Minister for Justice Helen McEntee has confirmed the city is definitely safe during a narrow but precise window of time. “As I have previously stated on the 239 other occasions I have been forced to put out similarly phrased words of comfort in the wake of violence in the city; this is an isolated incident and Dublin is safe… during 10.23am and 10.27am every second Tuesday-ish,” explained the Minister. With no empirical research and reason to back up why this particular 4-minute window is a blissfully peaceful time on the streets has emerged, the public have been urged not to complain but rather except this as the good news it is. “I looked it up, it’s not when methadone is doled out, it’s not when Conor McGregor is training in the gym or the Monk is off on a jolly in an early house, we can’t pin down the reason but let’s not question it Dubliners just enjoy it,” confirmed one Dept of Justice spokesperson. The news has seen an increase in city dwellers maximising the time, getting all errands and highly dangerous activities such as ‘existing’ out of the way in the golden 4-minutes. “Nah, you’re alright,” responded the Minister when asked if she planned another walk through the city centre flanked by gardaí and the media.",Waterford Whispers News,"December 16, 2024",LOCAL NEWS,Satire,https://waterfordwhispersnews.com/2024/12/16/mcentee-reassures-public-dublin-city-safe-between-the-times-of-10-23am-10-27am-every-second-tuesday/
"Former Fine Gael Politician Charged With Human Trafficking & Possessing Sex Abuse Images, Some Media Half-Heartedly Reports","WITH FORMER Fine Gael councillor Bill Tormey accused of possessing child pornography images and helping to bring an illegal immigrant into the country, some media outlets have reacted with somewhere between 2 and 3% of the breathless coverage they normally reserve for such a bombshell news item. “There is a case before the courts, this curtails what we can report but also I’m devastated this wasn’t a Sinn Féin rep, ‘cus it’s now basically a non-story worthy of little to no further reporting” confirmed one journalist, whose desire for fishing out crass details and doorstepping politicians is unusually absent. Layout designers and editors who may have been required to work late on 32-page special pullout supplements on such an Earth-shattering story have been stood down, as have producers of emergency podcasts, as it now transpires this isn’t a big story in the public interest. “I may have demanded Sinn Féin answer all and any questions relating to the case of their once-staff member being a sex offender, but it would be downright tawdry journalism to ask Fine Gael to answer for an individual and their alleged actions. A trial much take place. And when that is over and if he’s found guilty, I will say ‘justice has spoken, there is no more to say’ and move on,” one reactionary columnist confirmed. “No, there’s a clear difference; in the case of Sinn Féin you can extrapolate out an issue and ask, speculate and confirm it’s proof of deficiencies and anti-democratic values which are unique to the party but if such alleged crimes relate to a Fine Gael member, that’s mere coincidence and it would be churlish and unethical to draw conclusions about the party itself,” confirmed another columnist readying a ‘Expect The Opposition To Play Political With An Incredibly Sensitive Issue’ article.",Waterford Whispers News,"December 16, 2024",LOCAL NEWS,Satire,https://waterfordwhispersnews.com/2024/12/16/former-fine-gael-politician-charged-with-human-trafficking-possessing-sex-abuse-images-some-media-half-heartedly-reports/
Thousands Of Psychologists Descend On Manchester City To Observe & Study Guardiola’s Meltdown,"MANCHESTER hotels and Air Bnbs are at full capacity as the world’s leading psychologists have descended on the city in the hope of getting to observe, in person, Pep Guardiola’s post and pre-match press conference in which he slowly unravels. “Truly fascinating, it’s like if Einstein suddenly not only forgot the basic tenets of physics but was struggling to count to ten,” remarked one psychologist on Man City’s current complete lack of form. With City’s resolve and spine currently wilting like a ice cream cone on the surface of the sun, Guardiola’s response to continued adversity is the sort material that could fill a thousands PHD studies. “I’ve seen men who walked in their wives having sex with all four of their brothers at once cope better than this guy,” said a psychologist fascinated by the former Barcelona man’s soul-baring stream of consciousness press interviews. “Look the January transfer window is coming up, City will be looking to make new additions, we’re just hoping to be one of the 40 new additions required,” confirmed a group of therapists hoping to join the coaching Pep down on the ledge of his own manic monologues team. Elsewhere, a charity drive by local Manchester barbers has seen 4 tonnes of hair donated to the Manchester City manager in a bid to give him some hair to pull out when watching Matheus Nunes do anything on a football pitch.",Waterford Whispers News,"December 16, 2024",Sports,Satire,https://waterfordwhispersnews.com/2024/12/16/thousands-of-psychologists-descend-on-manchester-city-to-observe-study-guardiolas-meltdown/
"Country That Stole Irish Passports For Use In Assassinations, Attacked Irish Peacekeepers Closes Embassy In Ireland Over Country’s Opposition To Genocide","SOMETIMES, brutal regimes with little regard for human rights go too far. This, it transpires, is true of the outgoing Irish government. “Just when you think a regime has reached the nadir of its inhumanity and barbarity, they shock, offend and sicken you all over again,” confirmed Benjamin Netanyahu, still reeling from Ireland’s decision to support a petition at the international court of justice accusing Israel of genocide. Well documented by key figures in the Israeli government, signing a petition regarding an ongoing genocide is among the most heinous crimes imaginable, far greater than actually perpetrating the genocide and thus, Israel were left with no choice but to close down their embassy in Ireland. “Take that Ireland!” announced also-under-investigation-for-monumental-fraud Netanyahu, reasoning that by restricting the access of Israeli citizens in Ireland to supports from the Israeli state, Irish people will really feel like they’ve been punished. “What have we ever done to Ireland? Stolen their passports for use in assassinations, attacked their peacekeepers, attacked aid flotillas, restricted their aid from entering Gaza, providing them and the world with the largest and most comprehensive catalogue of images and videos of an ongoing genocide, and this is the thanks we get?” offered an upset Netanyahu. The Israeli leader was unable to answer any further questions as he was called away to authorise more missile strikes on Gaza, Lebanon, Syria and Iran. UPDATE: The Israeli government has charged Ireland with naked antisemitism after a man on Dublin’s O’Connell Street was pictured frowning in the general south easterly direction of Israel.",Waterford Whispers News,"December 16, 2024",WORLD NEWS,Satire,https://waterfordwhispersnews.com/2024/12/16/country-that-stole-irish-passports-for-use-in-assassinations-attacked-irish-peacekeepers-closes-embassy-in-ireland-over-countrys-opposition-to-genocide/
Conor McGregor Wins ‘Brought Most Shame To Ireland’ At RTÉ Sports Awards,"RTÉ’S biggest night in sport saw Paul O’Donovan walk away with the coveted ‘Sportsperson of the Year award’ for his Olympic and World Rowing Championships heroics. However, it wasn’t the only award handed out on the night with Conor McGregor having the great dishonour of picking up the ‘Brought Most Shame To Ireland’ award.  An unprecedented 5th win in a row in the category, McGregor faced his toughest competition for the award this year with late surges from ‘Unnamed Armagh GAA player questioned over rape’, Denis Coulson, who is was given 14 years in a French prison for his part in a gang rape of a woman and Chris Farrell who must wear an electronic monitor for two years after being found guilty for failure to prevent a crime. “I think it’s unfair on Conor, I voted for Catriona Carey myself, no one worked harder to ruin their sporting legacy in my opinion, maybe next year we can have a family category so the Careys get their due,” confirmed one voter for the awards. All in all it was a strong showing for the rugby fraternity with ex-international Brendan Mullin serving a three year sentence for stealing €570,000 from Bank of Ireland. Elsewhere, GAA county boards won ‘Most Hastily Tippexed Accounts’ and the Irish men’s soccer team won ‘Most Consistent Crusher of Hopes’.",Waterford Whispers News,"December 16, 2024",Sports,Satire,https://waterfordwhispersnews.com/2024/12/16/conor-mcgregor-wins-brought-most-shame-to-ireland-at-rte-sports-awards/
Local Man’s Always Had A Distrust Of The State Ever Since They Caught Him Doing Illegal Things,"AFTER engaging in a deep personal inventory in which he explored a number of life long beliefs and hang ups, local man Willie O’Gaughan believes he has always had a deeply paranoid attitude towards the Irish state and authorities ever since it caught him doing illegal things. “Tax is theft at the end of the day and they fuckin’ know it. Just takes one of us not to pay and the house of cards falls down,” explained the 37-year-old, who was unjustly hounded by Revenue when he engaged in a number of tax avoidance schemes in his early 20s. “Dodgy thieving pricks, the lot of them,” the skeptical, thieving prick O’Gaughan said, tracing his mistrust right back to point he received a court summons for unpaid tolls, parking tickets and illegal dumping. “It’s the little man like myself and yourself they go after, hounding us,” O’Gaughan explained to a motorist he had just rear-ended and tried to flee from. “At the end of the day they’ll get ya any way they can,” elaborated O’Gaughan who has being on the receiving end of getting got numerous times by breaking well known and signposted laws.",Waterford Whispers News,"December 13, 2024",Category not found,Satire,https://waterfordwhispersnews.com/2024/12/13/local-mans-always-had-a-distrust-of-the-state-ever-since-they-caught-him-doing-illegal-things/
‘Super Low Key’ Girls Xmas Meet Up Somehow Costs €427,"AN ANNUAL Xmas get together over a ‘super low key’ lunch among a group of friends is dangerously spiralling into a ‘massive ball ache’ thanks to the pricey organising habits and notions addiction of one Marie McGrath (32). “I’ve Christmas with two kids to be paying for, Shauna and Michelle are saving for houses, how in the name of the baby Jesus is this costing this much?” said Patricia Farley, in a separate WhatsApp group set up to bitch about McGrath. Running for over the past 7 years and always taking place over a brief lunch in Dublin during a workday given everyone’s busy schedules over the Christmas, Type A McGrath has successfully strong-armed the group into buckling to her demands and a two-night stay in Galway. “Galway doesn’t really suit me,” remarked Niamh Sullivan, the only one of the girls still living In Waterford, whose concerns were directly addressed by McGrath in the form of sending a link to €90 elf costumes everyone is now required to wear. A secret Santa with a budget of €150, a €60 bottomless brunch with a non-refundable deposit and staying in a 4-star hotel with a spa they won’t have time to use are among the many concerns the group have. “Don’t be silly, what are we? Penniless students,” McGrath responded to a suggestion to book a cheap hostel while omitting the fact the cost of the ‘lunch’ has now topped €658 excluding any money spent while in Galway. “They have a special offer on in the hotel where if you book the luxury suites they give you a festive cocktail for €20 extra but still – makes sense to make a fuss so it’s not just a boring get together, oh and then have that fake snow that gives you pink eye if it gets within 2 feet of your face,” enthused McGrath, who will have to be deposed from her organising role in a bloody coup.",Waterford Whispers News,"December 13, 2024",LIFESTYLE,Satire,https://waterfordwhispersnews.com/2024/12/13/super-low-key-girls-xmas-meet-up-somehow-costs-e427/
Pep Guardiola Calls Shamrock Rovers For Tips On Winning In Europe,"“THIS GAME has given me a lot so I don’t mind giving back, and I’ll help an any aspiring coach I can,” confirmed Stephen Bradley, who showed just how gracious and humble he is by taking a phone call from a struggling coach based in Manchester late yesterday evening. With his Shamrock Rovers side enjoying a 5-game unbeaten run in Europe, Bradley is the man Pep Guardiola has turned to for advice on how to crack continental competitions as his Manchester City side remain on the verge of Champions League elimination after a 2-0 loss to Juventus. “Ah no look, he was glum enough this lad Pep, but I told him football is a simple game just get it to  Kenny up top and the rest will take care of itself,” added Bradley after Rovers beat Bosnian champions Borac 3-0 last night in Tallaght. Bradley aware of the fact words from a high-level coach such as himself could have a big effect on an impressionable young coach like Guardiola, the Dubliner declined to point out the Manchester based man wsas using outdated ‘dinosaur tactics’ from 2019. Keeping him on the phone for close to 4 hours, Guardiola sought advice in other areas including what to do if your team is found to have broken spending rules 115 times and may be relegated to 47th tier of English football. “Jesus if you had asked me about boardroom squabbles I’d have a book for you on that, but can’t help you there pal,” explained Bradley, who declined to take struggling defender Kyle Walker off the Spaniard’s hands.",Waterford Whispers News,"December 13, 2024",Football,Satire,https://waterfordwhispersnews.com/2024/12/13/pep-guardiola-calls-shamrock-rovers-for-tips-on-winning-in-europe/
"Everyone Advised To Ignore Report Saying House Prices Overvalued By 10%, Everything Is Fine","AN ERSI report warned householders currently paying an average 33% of their net income on their mortgages are vulnerable to a ‘painful correction’ on house prices which are overvalued by as much as 10%. “Only 10%?” said the Irish public staring at Daft.ie listings for ‘half collapsed shed in active war zone, D15’ valued at €550,000 which beg to differ. Despite the alarming report, the Irish public has been urged to plough on regardless and ignore its contents as everything is fine. “You’ll have the overwhelming urge to take a step back and assess your situation with logic but this would be wrong. You need to be obsessed with owning property, no matter the cost, no matter how shortsighted a purchase. Do it. NOW,” whispered the mangled demon soul of Ireland directly into the ears’ of first time buyers. “Sadly, they’re not elevated enough. I was barely able to leverage my home to buy an apartment in Dublin to rent at extortionate levels; it’s the Irish dream,” shared one man, who thinks it’s a disgrace his kids can’t afford a house. Meanwhile, the outgoing Minister for Housing has confirmed having combed through the report its content are clearly a hyperbolic fantasy and that everything is indeed fine.  “Oh I haven’t read a word. But from my understanding we can counteract further price inflation by doing things that increase prices like more subsidies for builders, tax breaks for landlords, increasing the help to buy scheme and upping the rent credit payment,” explained Darragh O’Brien, who admitted government formation talks were on the verge of collapse as Fianna Fáil and Fine Gael fight over who gets responsibility for increasing homeless figures. UPDATE: The ERSI has raised its warning level to a ‘red’ after Eddie Hobbs was seen on RTÉ urging people to buy apartments in Bulgaria.",Waterford Whispers News,"December 12, 2024",Category not found,Satire,https://waterfordwhispersnews.com/2024/12/12/everyone-advised-to-ignore-report-saying-house-prices-overvalued-by-10-everything-is-fine/
Man Greets ‘Suitable For 8 People’ Label On Food Like A Challenge,"A LOCAL WATERFORD man has admitted for the first that for much of his life he has treated the guidelines listed by producers of food as a challenge, and has successfully beaten the ‘pathetic’ gauntlets they have clearly laid down for him. “‘Serves eight’? Never heard such nonsense in my life,” confirmed Niall Tulley, collecting the flakey crumbs on his chest, the only remnants of his 16 pack of sausage rolls. “It’s the arrogance that gets me to be honest, ‘suggested serving size – one slice’, you don’t think I can do it? Eat the whole cake? I’ll show you,” added Tulley, clearly gravely misunderstanding all portion related guidelines. Perceiving each serving suggestion as a ‘call out’ and a ‘questioning of my stomach storage facilities’, Tulley’s nutritional knowledge is sorely lacking and has prompted some to suggest an update to packaging guidelines. “You can’t put ‘serves 8’ on a Four Star pizza, it attacks the fragile masculinity of many men, you might as well call them a fanny,” explained foodologist Dr Wilhelm Von Murphy. “Reconsidering how we phrase portion intake, serving suggestions etc could see people like Tulley not immediately view it as a race against time to eat it all before declaring himself the victor”. Revised guidelines drafted by Dr Von Murphy include ‘listen we know you could gorge this in ten seconds flat, you’ve nothing to prove’ and ‘but won’t you feel a little bit sad when you catch sight of yourself in the reflection of the microwave after inhaling 12 of these?’",Waterford Whispers News,"December 12, 2024",LIFESTYLE,Satire,https://waterfordwhispersnews.com/2024/12/12/man-greets-suitable-for-8-people-label-on-food-like-a-challenge/
Saudi Arabia Begins Plotting Workers’ Mass Grave For World Cup 2034,"DELIVERING for the good of the game once again, FIFA have announced that Saudi Arabia will host the 2034 World Cup, winning a bidding processing in which they were the only applicants. “Saudi Arabia had an amazing bid, but more than anything we were impressed by the $1bn they invested in DAZN which then DAZN announced a $1bn deal for the broadcast rights to the new FIFA Club World Cup,” said FIFA official Bribe McBribery. Celebrations among the Saudi delegation had to remain short and swift as attention turned to what to do with the bodies of all the dead migrant labourers who will suffer human rights abuses and die of exhaustion building the 2034 stadiums. “We don’t want the mass grave near any of the tourist stuff, obviously” offered one meek member of Mohammed Bin Salman’s delegation during a human rights abuses storming session. “Call me crazy, well don’t ‘cus I’ll have you killed, but would it be the perfect mix of dastardly and practical to just leave a big hole at pitch level and just pop all the bodies in there, then lay the over them?” queried Mohammed Bin Salman. “If I may, I don’t know why we’re fretting over this, we could dump them in a big pile in front of an official FIFA fan zone, if Qatar’s proven anything it’s that no one cares,” offered one McBribery. Meanwhile, rescuers are running out of hope as their attempts to save FIFA president Gianni Infantino from drowning in cash enters its 5th hour.",Waterford Whispers News,"December 12, 2024",Football,Satire,https://waterfordwhispersnews.com/2024/12/12/saudi-arabia-begins-plotting-workers-mass-grave-for-world-cup-2034/
Revenue Raise Concerns As Some GAA County Board Accounts Written In Marker On Hurl Grip Tape,"WITH MAYO and Galway GAA not in a position to sign off on their accounts and seeking GAA HQ intervention as Revenue belatedly discovered the organisation’s existence, it has been claimed that some county boards’ monitoring of accounts was limited to scribbling expense claims down on discarded hurl grip tape. “They may be an amateur organisation but we’re one step shy of doing calculations using an abacus made of character references,” confirmed one tax expert. “Ah, accounting is like GAA rule changes, a complete pain in the hole and if you kick up enough of a fuss they just change them back again in the end,” confirmed one county board member who is pretty sure mileage, payments and holidays worth thousands in payments aren’t the tax man’s business and the only receipt he’s kept is a nod and a wink. “GAA (Gaelic Accounting Adjustments) is a complex financial system that Revenue officials simply don’t understand but it’s straightforward, if one of the senior team lads receives a car from a sponsor gratis, you jot down ‘nutritional allowance’ and that’s the end of it,” explained one county board official. Finding that the usual method of sternly repeating ‘but we’re the GAA’ didn’t immediately result in being left alone to do what they like, county boards are calling on Jarlath Burns to track down what club senior Revenue officials kids’ play for and get them dropped from teams. In one instance a junior B player is said to have received €40,000 in nutritional allowance payments for consuming over 7,000 breakfast roles. Revenue only accepted the accounts when forced to witness the man down 18 breakfast roles in 7 minutes. UPDATE: County boards are calling for a counter review into Revenue to see how many English soccer loving West Brit Dubs are working for Revenue.",Waterford Whispers News,"December 11, 2024",GAA,Satire,https://waterfordwhispersnews.com/2024/12/11/revenue-raise-concerns-as-some-gaa-county-board-accounts-written-in-marker-on-hurl-grip-tape/
Israel Bagsies Syria,"LOUDLY PROCLAIMING ‘yoink’, the government led by fraud trial attender and internationally wanted war criminal Benjamin Netanyahu are defending their decision to seize the Golan Heights ‘buffer zone’ in the wake of the collapse of Bashar al-Assad’s reign. “Bagsie it,” confirmed Israel citing a cast iron legal precedent observed the world over. The phrase, recognised as a short hand for claiming an object, place in queue or large tract of land, is a complex strategy which renders it almost impossible to lodge any objection or counter claim.  Citing previous bagsie incidents including ‘Israel’ and the fact it has illegally occupied the other portion of Golan since 1967, Israel do not expect any meaningful challenge to their commandeering of the territory. “I dunno, sounds pretty compelling to us,” confirmed originator of the ‘bagsie it’ method, Britain. Having also destroyed the majority of the newly liberated Syria’s military capabilities, Netanyahu said he hoped any future leadership there would accept his clear offer of friendship but warned that geography is not the IDF’s strong suit and they could continue to expand the size of the Golan Heights if they need to. Elsewhere, many people have called the insistence that attention be paid to the plight of the Syrian people ‘insensitive’ citing the fact they need time to process the Megan Fox-Machine Gun Kelly split for several more weeks.",Waterford Whispers News,"December 11, 2024",WORLD NEWS,Satire,https://waterfordwhispersnews.com/2024/12/11/israel-bagsies-syria/
Luigi Mangione Remains Producers’ Favourite For Next Season Of ‘The Bachelor’,"THE MOST eligible bachelor among the 99% of America not in the elite is being eyed for a starring role in America’s most popular reality dating institution. Despite standing accused of murdering a health insurance CEO, Luigi Mangione has caused several dating apps to crash under the weight of women searching for any possible dating profiles he may have. “Ok, so he can write. Good to know,” said one hopeful contestant after being asked if a potential Bachelor having a manifesto decrying the corrupt profit obsessed health insurance industry would be a red flag for her.  Offering to pay for his legal defence and even open to the idea of filming the show from prison, producers for the 28-season strong The Bachelor think they have found their man. “If only we made it to that McDonald’s before the FBI, we would have signed him up on the stop. If you look past the usual perverse ‘hot felon’ obsession America has, I think what will really resonate with female contestants and viewers is that Luigi is passionate, knows what he wants, and clearly has good organisation skills,” said one Bachelor producer. With the sentiments from would be female contestants vying for his affections ranging from ‘I can fix him’, ‘he doesn’t need fixing’ and ‘let’s go full Folie à Deux on these assholes together’, Magione could be the most sought after contestant ever seen in reality dating show history.",Waterford Whispers News,"December 11, 2024",ENTERTAINMENT,Satire,https://waterfordwhispersnews.com/2024/12/11/luigi-mangione-remains-producers-favourite-for-next-season-of-the-bachelor/
"“Don’t Worry, We’re The Good Terrorists”","SYRIANS across the country are celebrating today after terrorists from a good decent terrorist background overthrew brutal dictator President Bashar al-Assad yesterday freeing the nation into Islamic state control. Coined as ‘Syrians rebels’ for now until it suits, militant group Hayat Tahrir al-Sham leader Abu Mohammed al-Jawlani was greeted with cheers from supporters after capturing the Syrian capital Damascus, solidifying the once wanted group’s control over much of the country. “Don’t worry guys, we’re the good Islamic terrorists so there’s no need to worry about us beheading any of you or anything, unless you’re Christian of course,” proclaimed the rebel leader, who has had a US-issued $10mn dollar reward on his head since 2017, which was ages ago really when you think about it and people change. “I don’t even dress like a terrorist anymore. Look at my army style shirt. I’m like a Syrian Zelensky, I’m one of the good guys now!” he stated. Forcing the Assad family to flee to Russia after a 50-year reign of terror, the once al-Qaeda member al-Jawlani promised a more pragmatic approach to jihad going forward, admitting his past endeavours were questionable, but to trust him all the same as he’s a changed man. “I was al-Qaeda, then Jabhat Fatah al-Sham, then Hayat Tahrir al-Sham, but today I’m a Syrian rebel. I may have changed terrorist organisations more times than my headscarf, but you can’t buy that kind of experience so I’m the perfect guy to take over from Assad until they oust me later down the line,” al-Jawlani concluded his statement. Meanwhile, Syrian people have been told to stop celebrating the end of a brutal dictatorship by western leaders because the group that brought freedom didn’t get their permission beforehand.",Waterford Whispers News,"December 9, 2024",WORLD NEWS,Satire,https://waterfordwhispersnews.com/2024/12/09/dont-worry-were-the-good-terrorists/
Hayes Sickened He Didn’t Hold Out As Stock He Dumped Soars,"NEWLY SUSPENDED newly elected Social Democrats Eoin Hayes has voiced his regret after shares in software company Palantir have almost tripled in the six months since he sold them. Offloading his stake for just €200k in July, Hayes’ shares would be now worth nearly €600k, which works out at a full terms salary in the Dáil or the cost of an ‘affordable home’ in Dublin. “He’s absolutely bulling,” a source close to Hayes described his mood as he was forced on moral grounds to dump his stake in the US company which provides artificial-intelligence products and services to Israel for use in occupied Palestinian territories. The newly elected Dublin Bay South TD has been suspended from the Social Democrats’ parliamentary party with immediate effect for giving incorrect information, originally stating he sold the shares before he was elected to politics, but was actually after the fact. “In fairness to Eoin he’s showing some real promise as an Irish politician and shouldn’t be put off that he was booted out of the Social Dems for lying, he’d get a promotion in Fianna Fáil or Fine Gael for the same thing,” pointed out another source.",Waterford Whispers News,"December 11, 2024",POLITICS,Satire,https://waterfordwhispersnews.com/2024/12/11/hayes-sickened-he-didnt-hold-out-as-stocks-he-dumped-soars/
Some Irish Villages Resorting To Cannibalism As Power Yet To Be Restored After Storm Darragh,"DESPITE ESB repair crews’ best effort, a significant number of people in Ireland still remain without power in the aftermath of Storm Darragh with worrying reports many have resorted to cannibalism. “You got a phone charger? I’ll such your dick for a little phone juice. Please, I’m desperate,” said one internet-deprived Waterford resident seconds into losing power during Storm Darragh, and the social cohesion and civility has only fractured further since then plunging some villages into a more-lawless-usual nightmare. “Ah look, we actually had a load of pre-cooked meals and that so we were fine for food but I thought this storm might be my only excuse to try human flesh,” said one Galway resident feasting on his neighbour’s arm, having just endured close to 30 hours without power. This man is not alone, as it is estimated nearly 3,000 rural Irish villages now resemble some sort of zombie apocalypse movie on steroids. “I wouldn’t mind only we had got in extra stock and hired a generator,” said one rural take away that actually suffered a dip in business as panicked locals never considered checking in, instead choosing to immediately resort to cannibalism. “It’s got so bad Donal Skehan has rushed out a cannibal recipe book for the Christmas,” said one ESB worker who had his leg gnawed off as he was halfway up a pole fixing an electrical fault.",Waterford Whispers News,"December 9, 2024",LOCAL NEWS,Satire,https://waterfordwhispersnews.com/2024/12/09/some-irish-villages-resorting-to-cannibalism-as-power-yet-to-be-restored-after-storm-darragh/
Person At Top Of Shop Queue Taken Completely By Surprise By Request To Pay For Goods,"A MAN AT the top of a lengthy shopping queue has been taken by surprise at a request for payment, WWN can exclusively reveal. Initially local man Tom Shannon struggled to comprehend the words, straining and asking the supermarket retail assistant to repeat what they said before engaging in what looked like the long forgotten elaborate tribal dance of his people, patting down every pocket his clothing had several times. “Just a sec,” said Shannon, who despite seeing the four people in front of him go through the same routine to pay for his shopping, was as ill-prepared for a request for payment as a monkey would be if asked to perform open heart surgery. “What’s this prick at,” confirmed the eleven people behind Shannon in queue in unison. Wasting the sort of time George RR Martin could’ve finished writing his Game of Thrones series in, Shannon fumbled, rummaged and pulled at his jacket and jean pockets before producing his phone which he intended on paying with. “There we are now,” said Shannon before failing to open his phone using face-ID technology, forcing him to resort to incorrectly inputting his phone pin which led him to revert to using his debit card. Doing so with the sort of nonchalance that brings out a unique and potent level of animosity in fellow shoppers, Shannon then repeatedly tapped a coffee loyalty card on the card machine. “You should have given me a heads up you were finished scanning my shopping,” Shannon now barked at the retail assistant, cementing his reputation as a one-of-a-kind dickhead in the process.",Waterford Whispers News,"December 6, 2024",Category not found,Satire,https://waterfordwhispersnews.com/2024/12/06/person-at-top-of-shop-queue-taken-completely-by-surprise-by-request-to-pay-for-goods/
Assad To Be Given Tour Of Moscow’s Most Beautiful 10th Storey Windows,"A REMARKABLE few days has seen the fall of Syrian tyrant Bashar Al-Assad, with reports placing him in the safe haven for a number of irredeemable bastard dictators, Moscow. The deposed despot fled the country he and his family brutalised for over 50 years but those fearing Assad would be left to a life in penury and suffering will be left disappointed as evidenced by the warm welcome he has reportedly received from Vladimir Putin in Moscow. “I know you would rather be back home killing and torturing, who wouldn’t, but in Moscow we have nice restaurants, the theatre, oh and you will not believe the beautiful windows we have. Hey, Alexander show Bashar our best windows,” enthused Putin before abruptly leaving his dictator friend to get back to concentrating on his three day special military operation in Ukraine. Putin’s FSB has promised Assad that he will be given a detailed tour on all Moscow’s best high rise windows. “You have Palladian window style in Syria yes? It is beautiful no? Me? I like two-panel slider window because once it slide over you can lock in place so no accidentally close while you trying to get view. Come look,” insisted Assad’s friendly and accommodating tour guide. Assad’s guide, Alexander, then spent close to 45 minutes criticising universally adopted window safety features, with particular disdain for the jalousie window which only ever offered the window user a partial shuttered view of the steep drops below. “With jalousie window, you no stand out on edge, feel breeze on face, hand at your back. It real shame,” added Alexander, before ushering Assad to the crown jewel of Russian windows which is known for its panoramic views and no overlooking apartment blocks or witnesses.",Waterford Whispers News,"December 9, 2024",POLITICS,Satire,https://waterfordwhispersnews.com/2024/12/09/assad-to-be-given-tour-of-moscows-most-beautiful-10th-storey-windows/
